participant_id,language,set,created_at,completed_at,train_duration_sec,test_duration_sec,instructions_time_sec,rules_time_sec,n_groups,sel_score_total,sel_max,sel_attempts_total,proc_score_total,proc_max,proc_attempts_total,dest_score_total,dest_max,dest_attempts_total,total_score,total_max,rule_consultations_test
P010,en,A,2026-04-26T11:08:53.524269,,36,,4,2,3,6,15,4,7,15,4,0,15,3,13,45,0
P009,en,A,2026-04-26T11:01:13.249013,2026-04-26T11:08:02.589041,42,90,2303,5,3,4,15,7,7,15,6,0,15,6,11,45,0
P008,en,A,2026-04-26T10:58:49.161251,,,,2,2,1,1,5,1,0,5,0,0,5,0,1,15,0
P007,es,A,2026-04-26T10:57:42.110330,,,,2,3,1,0,5,1,0,5,0,0,5,0,0,15,0
P006,en,A,2026-04-26T10:50:42.354618,,,,2,2,1,0,5,1,0,5,0,0,5,0,0,15,0
P005,es,A,2026-04-26T10:48:25.428177,,,,3,3,1,2,5,1,0,5,0,0,5,0,2,15,0
P004,es,A,2026-04-26T10:39:06.291503,,,,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0
P003,es,A,2026-04-26T10:28:02.504104,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
P002,es,A,2026-04-26T10:26:19.665886,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
P001,es,A,2026-04-26T10:24:17.935457,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
P011,es,A,2026-04-26T09:15:47.219171,2026-04-26T09:17:38.681710,63,37,3,2,3,4,15,6,7,15,6,0,15,6,11,45,0
