participant_id,condition,mode,language,set,created_at,completed_at,age,gender,education,robot_experience,instructions_time_sec,rules_time_sec,train_duration_sec,test_duration_sec,train_sel_total,train_proc_total,train_dest_total,train_total,train_max,train_rule_consult,train_rule_time_sec,train_g1_selection_score,train_g1_selection_time_sec,train_g1_selection_rule_consult,train_g1_selection_rule_time_sec,train_g1_selection_correction_time_sec,train_g1_selection_correction_rule_time_sec,train_g1_kendall_tau,train_g1_phase_score,train_g1_tier_ordering_score,train_g1_within_tier_score,train_g1_processes_score,train_g1_processes_time_sec,train_g1_processes_rule_consult,train_g1_processes_rule_time_sec,train_g1_processes_correction_time_sec,train_g1_processes_correction_rule_time_sec,train_g1_destinations_score,train_g1_destinations_time_sec,train_g1_destinations_rule_consult,train_g1_destinations_rule_time_sec,train_g1_destinations_correction_time_sec,train_g1_destinations_correction_rule_time_sec,train_g2_selection_score,train_g2_selection_time_sec,train_g2_selection_rule_consult,train_g2_selection_rule_time_sec,train_g2_selection_correction_time_sec,train_g2_selection_correction_rule_time_sec,train_g2_kendall_tau,train_g2_phase_score,train_g2_tier_ordering_score,train_g2_within_tier_score,train_g2_processes_score,train_g2_processes_time_sec,train_g2_processes_rule_consult,train_g2_processes_rule_time_sec,train_g2_processes_correction_time_sec,train_g2_processes_correction_rule_time_sec,train_g2_destinations_score,train_g2_destinations_time_sec,train_g2_destinations_rule_consult,train_g2_destinations_rule_time_sec,train_g2_destinations_correction_time_sec,train_g2_destinations_correction_rule_time_sec,train_g3_selection_score,train_g3_selection_time_sec,train_g3_selection_rule_consult,train_g3_selection_rule_time_sec,train_g3_selection_correction_time_sec,train_g3_selection_correction_rule_time_sec,train_g3_kendall_tau,train_g3_phase_score,train_g3_tier_ordering_score,train_g3_within_tier_score,train_g3_processes_score,train_g3_processes_time_sec,train_g3_processes_rule_consult,train_g3_processes_rule_time_sec,train_g3_processes_correction_time_sec,train_g3_processes_correction_rule_time_sec,train_g3_destinations_score,train_g3_destinations_time_sec,train_g3_destinations_rule_consult,train_g3_destinations_rule_time_sec,train_g3_destinations_correction_time_sec,train_g3_destinations_correction_rule_time_sec,test_sel_total,test_proc_total,test_dest_total,test_total,test_max,test_rule_consult,test_rule_time_sec,test_g1_selection_score,test_g1_selection_time_sec,test_g1_selection_rule_consult,test_g1_selection_rule_time_sec,test_g1_selection_correction_time_sec,test_g1_selection_correction_rule_time_sec,test_g1_kendall_tau,test_g1_phase_score,test_g1_tier_ordering_score,test_g1_within_tier_score,test_g1_processes_score,test_g1_processes_time_sec,test_g1_processes_rule_consult,test_g1_processes_rule_time_sec,test_g1_processes_correction_time_sec,test_g1_processes_correction_rule_time_sec,test_g1_destinations_score,test_g1_destinations_time_sec,test_g1_destinations_rule_consult,test_g1_destinations_rule_time_sec,test_g1_destinations_correction_time_sec,test_g1_destinations_correction_rule_time_sec,test_g2_selection_score,test_g2_selection_time_sec,test_g2_selection_rule_consult,test_g2_selection_rule_time_sec,test_g2_selection_correction_time_sec,test_g2_selection_correction_rule_time_sec,test_g2_kendall_tau,test_g2_phase_score,test_g2_tier_ordering_score,test_g2_within_tier_score,test_g2_processes_score,test_g2_processes_time_sec,test_g2_processes_rule_consult,test_g2_processes_rule_time_sec,test_g2_processes_correction_time_sec,test_g2_processes_correction_rule_time_sec,test_g2_destinations_score,test_g2_destinations_time_sec,test_g2_destinations_rule_consult,test_g2_destinations_rule_time_sec,test_g2_destinations_correction_time_sec,test_g2_destinations_correction_rule_time_sec,test_g3_selection_score,test_g3_selection_time_sec,test_g3_selection_rule_consult,test_g3_selection_rule_time_sec,test_g3_selection_correction_time_sec,test_g3_selection_correction_rule_time_sec,test_g3_kendall_tau,test_g3_phase_score,test_g3_tier_ordering_score,test_g3_within_tier_score,test_g3_processes_score,test_g3_processes_time_sec,test_g3_processes_rule_consult,test_g3_processes_rule_time_sec,test_g3_processes_correction_time_sec,test_g3_processes_correction_rule_time_sec,test_g3_destinations_score,test_g3_destinations_time_sec,test_g3_destinations_rule_consult,test_g3_destinations_rule_time_sec,test_g3_destinations_correction_time_sec,test_g3_destinations_correction_rule_time_sec,nasa_mental,nasa_physical,nasa_temporal,nasa_performance,nasa_effort,nasa_frustration,nasa_mean,ues_presentation_order,ues_FA1,ues_FA2,ues_FA3,ues_PU1,ues_PU2,ues_PU3,ues_AE1,ues_AE2,ues_AE3,ues_RW1,ues_RW2,ues_RW3,ues_FA_mean,ues_PU_mean,ues_AE_mean,ues_RW_mean,ues_total_mean,q_q1,q_q2,q_q3,q_q4,q_q5,q_q6
P026,web,error_based,en,A,2026-05-11T23:19:11.108534,2026-05-11T23:25:36.220296,22,non_binary,high_school,couple,4,2,275,85,15,15,15,45,45,4,68.7,5,12,0,0.0,,0,1.0,9,4,5,5,143,2,34.3,,0,5,184,2,34.3,,0,5,15,0,0.0,,0,1.0,9,4,5,5,31,0,0.0,,0,5,49,0,0.0,,0,5,14,0,0.0,,0,1.0,9,4,5,5,24,0,0.0,,0,5,37,0,0.0,,0,4,7,0,11,45,6,8.0,0,19,1,1.0,2.5,0.0,0.6,5,2,3,2,7,1,1.0,1.3,0.0,0,11,1,1.0,1.8,0.0,3,10,1,1.7,1.7,0.0,0.9,7,4,3,3,6,1,1.7,1.1,0.0,0,2,1,1.7,1,0.0,1,7,0,0.0,1.5,0.0,0.6,7,2,5,2,6,0,0.0,1.7,0.0,0,5,0,0.0,8.5,0.0,35,35,75,65,45,25,46.7,"RW3,FA1,FA2,PU2,RW1,FA3,AE3,AE1,AE2,PU3,RW2,PU1",2,3,4,2,5,2,3,4,4,5,3,3,3.0,3.0,3.667,3.667,3.333,2,2,3,processes,2,4
P025,web,error_based,es,A,2026-05-11T22:58:02.081526,,32,male,vocational,multiple,2,4,1212,,4,6,0,10,45,0,0.0,0,16,0,0.0,2,0.0,0.4,5,2,3,1,9,0,0.0,1.5,0.0,0,4,0,0.0,0.8,0.0,2,9,0,0.0,3.8,0.0,0.8,5,2,3,3,5,0,0.0,1,0.0,0,2,0,0.0,0.8,0.0,2,7,0,0.0,1.3,0.0,0.8,7,2,5,2,3,0,0.0,1.7,0.0,0,5,0,0.0,1.2,0.0,0,0,0,0,15,1,0.7,0,12,1,0.7,17.1,0.0,0.7,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P024,web,error_based,es,A,2026-05-11T22:52:58.477335,,34,male,high_school,multiple,2,5,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P023,web,error_based,es,A,2026-05-11T21:14:05.653286,,32,non_binary,vocational,couple,3,2,,,5,5,5,15,15,0,0.0,5,11,0,0.0,,0,1.0,9,4,5,5,22,0,0.0,,0,5,52,0,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P022,web,error_based,es,A,2026-05-11T21:06:15.637809,,32,male,vocational,multiple,5,3,145,,15,15,15,45,45,0,0.0,5,10,0,0.0,,0,1.0,9,4,5,5,32,0,0.0,,0,5,47,0,0.0,,0,5,18,0,0.0,,0,1.0,9,4,5,5,38,0,0.0,,0,5,53,0,0.0,,0,5,17,0,0.0,,0,1.0,9,4,5,5,28,0,0.0,,0,5,41,0,0.0,,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P021,web,error_based,es,A,2026-05-11T20:53:30.201696,,20,male,high_school,daily,3,6,330,,15,15,15,45,45,3,12.2,5,88,1,4.1,,0,1.0,9,4,5,5,125,1,4.1,,0,5,139,1,4.1,,0,5,102,0,0.0,,0,1.0,9,4,5,5,111,0,0.0,,0,5,123,0,0.0,,0,5,43,0,0.0,,0,1.0,9,4,5,5,51,0,0.0,,0,5,64,0,0.0,,0,1,1,0,2,15,0,0.0,1,12,0,0.0,3,0.0,0.8,5,2,3,1,18,0,0.0,10.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P020,web,error_based,en,A,2026-05-11T20:35:54.663098,,43,male,middle_school,daily,2,2,,,5,0,0,5,15,0,0.0,5,83,0,0.0,,0,1.0,9,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P019,web,error_based,es,A,2026-05-11T20:09:36.962553,,42,male,vocational,couple,7,41,564,,15,15,15,45,45,3,50.1,5,28,0,0.0,,0,1.0,9,4,5,5,334,0,0.0,,0,5,378,0,0.0,,0,5,102,1,16.7,,0,1.0,9,4,5,5,112,1,16.7,,0,5,129,1,16.7,,0,5,17,0,0.0,,0,1.0,9,4,5,5,25,0,0.0,,0,5,53,0,0.0,,0,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P018,web,error_based,es,A,2026-05-10T20:52:29.813454,,33,female,master,daily,2,2,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017,web,error_based,en,A,2026-05-10T20:52:09.767840,,,,,,2,2,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
