participant_id,condition,mode,language,set,created_at,completed_at,age,gender,education,robot_experience,instructions_time_sec,rules_time_sec,train_duration_sec,test_duration_sec,train_sel_total,train_dest_total,train_total,train_max,train_rule_consult,train_rule_time_sec,train_g1_selection_score,train_g1_selection_time_sec,train_g1_selection_rule_consult,train_g1_selection_rule_time_sec,train_g1_selection_correction_time_sec,train_g1_selection_correction_rule_time_sec,train_g1_kendall_tau,train_g1_correct_critical,train_g1_correct_moderate,train_g1_correct_stable,train_g1_correct_slot_critical,train_g1_correct_slot_moderate,train_g1_correct_slot_stable,train_g1_destinations_score,train_g1_destinations_time_sec,train_g1_destinations_rule_consult,train_g1_destinations_rule_time_sec,train_g1_destinations_correction_time_sec,train_g1_destinations_correction_rule_time_sec,train_g2_selection_score,train_g2_selection_time_sec,train_g2_selection_rule_consult,train_g2_selection_rule_time_sec,train_g2_selection_correction_time_sec,train_g2_selection_correction_rule_time_sec,train_g2_kendall_tau,train_g2_correct_critical,train_g2_correct_moderate,train_g2_correct_stable,train_g2_correct_slot_critical,train_g2_correct_slot_moderate,train_g2_correct_slot_stable,train_g2_destinations_score,train_g2_destinations_time_sec,train_g2_destinations_rule_consult,train_g2_destinations_rule_time_sec,train_g2_destinations_correction_time_sec,train_g2_destinations_correction_rule_time_sec,train_g3_selection_score,train_g3_selection_time_sec,train_g3_selection_rule_consult,train_g3_selection_rule_time_sec,train_g3_selection_correction_time_sec,train_g3_selection_correction_rule_time_sec,train_g3_kendall_tau,train_g3_correct_critical,train_g3_correct_moderate,train_g3_correct_stable,train_g3_correct_slot_critical,train_g3_correct_slot_moderate,train_g3_correct_slot_stable,train_g3_destinations_score,train_g3_destinations_time_sec,train_g3_destinations_rule_consult,train_g3_destinations_rule_time_sec,train_g3_destinations_correction_time_sec,train_g3_destinations_correction_rule_time_sec,test_sel_total,test_dest_total,test_total,test_max,test_rule_consult,test_rule_time_sec,nasa_mental,nasa_physical,nasa_temporal,nasa_performance,nasa_effort,nasa_frustration,nasa_mean,ues_presentation_order,ues_FA1,ues_FA2,ues_FA3,ues_PU1,ues_PU2,ues_PU3,ues_AE1,ues_AE2,ues_AE3,ues_RW1,ues_RW2,ues_RW3,ues_FA_mean,ues_PU_mean,ues_AE_mean,ues_RW_mean,ues_total_mean,test_g1_selection_score,test_g1_selection_time_sec,test_g1_selection_rule_consult,test_g1_selection_rule_time_sec,test_g1_selection_correction_time_sec,test_g1_selection_correction_rule_time_sec,test_g1_kendall_tau,test_g1_correct_critical,test_g1_correct_moderate,test_g1_correct_stable,test_g1_correct_slot_critical,test_g1_correct_slot_moderate,test_g1_correct_slot_stable,test_g1_destinations_score,test_g1_destinations_time_sec,test_g1_destinations_rule_consult,test_g1_destinations_rule_time_sec,test_g1_destinations_correction_time_sec,test_g1_destinations_correction_rule_time_sec,test_g2_selection_score,test_g2_selection_time_sec,test_g2_selection_rule_consult,test_g2_selection_rule_time_sec,test_g2_selection_correction_time_sec,test_g2_selection_correction_rule_time_sec,test_g2_kendall_tau,test_g2_correct_critical,test_g2_correct_moderate,test_g2_correct_stable,test_g2_correct_slot_critical,test_g2_correct_slot_moderate,test_g2_correct_slot_stable,test_g2_destinations_score,test_g2_destinations_time_sec,test_g2_destinations_rule_consult,test_g2_destinations_rule_time_sec,test_g2_destinations_correction_time_sec,test_g2_destinations_correction_rule_time_sec,test_g3_selection_score,test_g3_selection_time_sec,test_g3_selection_rule_consult,test_g3_selection_rule_time_sec,test_g3_selection_correction_time_sec,test_g3_selection_correction_rule_time_sec,test_g3_kendall_tau,test_g3_correct_critical,test_g3_correct_moderate,test_g3_correct_stable,test_g3_correct_slot_critical,test_g3_correct_slot_moderate,test_g3_correct_slot_stable,test_g3_destinations_score,test_g3_destinations_time_sec,test_g3_destinations_rule_consult,test_g3_destinations_rule_time_sec,test_g3_destinations_correction_time_sec,test_g3_destinations_correction_rule_time_sec,q_q1,q_q2,q_q3,q_q4,q_q5,q_q6,q_q7,q_q10,q_q8,q_q9
P012,web,error_based,en,A,2026-05-18T20:34:47.348723+00:00,,44,male,bachelor,multiple,2,3,122,,8,1,9,30,7,27.8,3,12,1,2.0,16.4,2.4,0.7,2,0,1,2,0,1,1,28,2,4.4,10.3,1.7,2,19,1,8.6,10.7,3.1,0.8,1,2,0,1,1,0,0,14,2,11.7,5.1,1.8,3,8,0,0.0,14.6,0.0,0.9,1,1,1,1,1,1,0,20,1,1.1,3.6,0.0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P011,web,error_based,es,A,2026-05-18T20:33:25.744376+00:00,,34,male,master,multiple,3,5,,,3,0,3,10,0,0.0,3,13,0,0.0,,0,0.9,3,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P010,web,error_based,es,A,2026-05-18T20:20:44.698384+00:00,,34,female,master,couple,4,6,,,0,0,0,20,9,149.3,0,96,4,73.2,9,0.0,0.7,2,0,0,0,0,0,0,22,5,76.1,2.3,0.0,0,10,0,0.0,3.3,0.0,0.7,2,3,0,0,0,0,0,18,0,0.0,,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P009,web,error_based,en,A,2026-05-18T19:00:07.872916+00:00,2026-05-18T19:03:22.674727+00:00,44,female,vocational,couple,5,8,114,46,4,0,4,30,7,61.1,0,11,0,0.0,,0,0.5,,,,,,,0,10,0,0.0,4.7,0.0,2,15,1,4.9,,0,0.6,,,,,,,0,14,1,4.9,10.1,0.0,2,21,2,23.6,,0,0.6,,,,,,,0,23,3,27.6,2.7,0.0,3,0,3,30,0,0.0,70,70,60,90,65,70,70.8,"FA1,AE3,FA3,AE2,RW3,PU3,RW2,PU2,FA2,RW1,PU1,AE1",4,4,4,4,4,5,4,3,4,5,4,4,4.0,1.667,3.667,4.333,3.417,1,8,0,0.0,,0,0.7,,,,,,,0,5,0,0.0,1.9,0.0,1,7,0,0.0,,0,0.7,,,,,,,0,4,0,0.0,1.9,0.0,1,9,0,0.0,,0,0.6,,,,,,,0,5,0,0.0,1.7,0.0,5,5,5,destinations,5,5,5,,,
R008,robot,error_based,es,,2026-05-18T18:56:18.089623+00:00,,45,female,middle_school,never,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,75,65,90,65,50,70,69.2,"FA3,FA1,PU2,AE2,AE3,FA2,RW1,RW2,RW3,PU1,PU3,AE1",3,3,4,3,4,4,3,3,3,3,3,3,3.333,2.333,3.0,3.0,2.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,destinations,3,4,4,coucou,coucou,coucou
R007,robot,error_based,en,,2026-05-18T12:43:29.630210+00:00,,26,female,phd,daily,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,50,50,50,50,50,50,50.0,"FA1,RW3,PU3,RW1,AE3,PU2,FA3,AE1,AE2,PU1,RW2,FA2",5,5,5,5,5,5,5,5,5,5,5,5,5.0,1.0,5.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P006,web,guided,es,A,2026-05-17T10:14:40.144539+00:00,,99,female,high_school,never,3,23,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P005,web,error_based,en,A,2026-05-17T10:14:17.440120+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P004,web,error_based,en,A,2026-05-17T10:14:05.032245+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P003,web,error_based,en,A,2026-05-17T07:00:53.381919+00:00,,33,non_binary,vocational,never,2,2,,,1,0,1,10,0,0.0,1,9,0,0.0,,0,0.7,,,,,,,0,3,0,0.0,1.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
