participant_id,condition,mode,language,set,created_at,completed_at,age,gender,education,robot_experience,instructions_time_sec,rules_time_sec,train_duration_sec,test_duration_sec,train_sel_total,train_dest_total,train_total,train_max,train_rule_consult,train_rule_time_sec,train_g1_selection_score,train_g1_selection_time_sec,train_g1_selection_rule_consult,train_g1_selection_rule_time_sec,train_g1_selection_correction_time_sec,train_g1_selection_correction_rule_time_sec,train_g1_kendall_tau,train_g1_correct_critical,train_g1_correct_moderate,train_g1_correct_stable,train_g1_correct_slot_critical,train_g1_correct_slot_moderate,train_g1_correct_slot_stable,train_g1_destinations_score,train_g1_destinations_time_sec,train_g1_destinations_rule_consult,train_g1_destinations_rule_time_sec,train_g1_destinations_correction_time_sec,train_g1_destinations_correction_rule_time_sec,train_g2_selection_score,train_g2_selection_time_sec,train_g2_selection_rule_consult,train_g2_selection_rule_time_sec,train_g2_selection_correction_time_sec,train_g2_selection_correction_rule_time_sec,train_g2_kendall_tau,train_g2_correct_critical,train_g2_correct_moderate,train_g2_correct_stable,train_g2_correct_slot_critical,train_g2_correct_slot_moderate,train_g2_correct_slot_stable,train_g2_destinations_score,train_g2_destinations_time_sec,train_g2_destinations_rule_consult,train_g2_destinations_rule_time_sec,train_g2_destinations_correction_time_sec,train_g2_destinations_correction_rule_time_sec,train_g3_selection_score,train_g3_selection_time_sec,train_g3_selection_rule_consult,train_g3_selection_rule_time_sec,train_g3_selection_correction_time_sec,train_g3_selection_correction_rule_time_sec,train_g3_kendall_tau,train_g3_correct_critical,train_g3_correct_moderate,train_g3_correct_stable,train_g3_correct_slot_critical,train_g3_correct_slot_moderate,train_g3_correct_slot_stable,train_g3_destinations_score,train_g3_destinations_time_sec,train_g3_destinations_rule_consult,train_g3_destinations_rule_time_sec,train_g3_destinations_correction_time_sec,train_g3_destinations_correction_rule_time_sec,test_sel_total,test_dest_total,test_total,test_max,test_rule_consult,test_rule_time_sec,test_g1_selection_score,test_g1_selection_time_sec,test_g1_selection_rule_consult,test_g1_selection_rule_time_sec,test_g1_selection_correction_time_sec,test_g1_selection_correction_rule_time_sec,test_g1_kendall_tau,test_g1_correct_critical,test_g1_correct_moderate,test_g1_correct_stable,test_g1_correct_slot_critical,test_g1_correct_slot_moderate,test_g1_correct_slot_stable,test_g1_destinations_score,test_g1_destinations_time_sec,test_g1_destinations_rule_consult,test_g1_destinations_rule_time_sec,test_g1_destinations_correction_time_sec,test_g1_destinations_correction_rule_time_sec,test_g2_selection_score,test_g2_selection_time_sec,test_g2_selection_rule_consult,test_g2_selection_rule_time_sec,test_g2_selection_correction_time_sec,test_g2_selection_correction_rule_time_sec,test_g2_kendall_tau,test_g2_correct_critical,test_g2_correct_moderate,test_g2_correct_stable,test_g2_correct_slot_critical,test_g2_correct_slot_moderate,test_g2_correct_slot_stable,test_g2_destinations_score,test_g2_destinations_time_sec,test_g2_destinations_rule_consult,test_g2_destinations_rule_time_sec,test_g2_destinations_correction_time_sec,test_g2_destinations_correction_rule_time_sec,test_g3_selection_score,test_g3_selection_time_sec,test_g3_selection_rule_consult,test_g3_selection_rule_time_sec,test_g3_selection_correction_time_sec,test_g3_selection_correction_rule_time_sec,test_g3_kendall_tau,test_g3_correct_critical,test_g3_correct_moderate,test_g3_correct_stable,test_g3_correct_slot_critical,test_g3_correct_slot_moderate,test_g3_correct_slot_stable,test_g3_destinations_score,test_g3_destinations_time_sec,test_g3_destinations_rule_consult,test_g3_destinations_rule_time_sec,test_g3_destinations_correction_time_sec,test_g3_destinations_correction_rule_time_sec,nasa_mental,nasa_physical,nasa_temporal,nasa_performance,nasa_effort,nasa_frustration,nasa_mean,ues_presentation_order,ues_FA1,ues_FA2,ues_FA3,ues_PU1,ues_PU2,ues_PU3,ues_AE1,ues_AE2,ues_AE3,ues_RW1,ues_RW2,ues_RW3,ues_FA_mean,ues_PU_mean,ues_AE_mean,ues_RW_mean,ues_total_mean,q_q1,q_q2,q_q3,q_q4,q_q5,q_q6,q_q7,q_q8,q_q9,q_q10
P065,web,guided,es,A,2026-05-25T18:53:44.170851+00:00,2026-05-25T19:25:07.065678+00:00,32,female,bachelor,,180,334,839,491,15,15,30,30,16,879.7,5,353,4,253.6,,0,1.0,3,1,1,3,1,1,5,503,6,363.5,,0,5,112,1,40.9,,0,1.0,2,3,0,2,3,0,5,199,2,120.1,,0,5,62,1,28.0,,0,1.0,1,2,2,1,2,2,5,130,2,73.7,,0,12,11,23,30,4,133.9,2,57,0,0.0,53.6,29.7,0.8,2,0,0,2,0,0,3,96,1,29.7,12.2,0.0,5,91,0,0.0,116.4,104.2,1.0,2,3,0,2,3,0,4,125,3,104.2,5.4,0.0,5,73,0,0.0,2.4,0.0,1.0,1,2,2,1,2,2,4,24,0,0.0,4.4,0.0,80,0,30,80,70,20,46.7,"FA1,AE1,FA2,PU1,AE2,RW1,RW3,AE3,PU2,PU3,FA3,RW2",2,5,4,2,3,2,4,4,4,3,5,4,3.667,3.667,4.0,4.0,3.833,4,3,3,selection,4,4,5,"Posar en ordre els pacients i recordar prioritats dins d'un mateix rang (crític, moderat...)","A la part d'entrenament, fer primer la prova i després tenir la resposta del perquè. Poder practicar més abans de fer el test.","Les preguntes sobre el ""sistema"", no queda clar a què es refereixen."
P064,web,error_based,en,A,2026-05-25T18:13:07.548462+00:00,,99,male,master,couple,3,3,1167,,9,0,9,30,5,1272.3,5,8,0,0.0,238.7,237.6,1.0,3,1,1,3,1,1,0,242,1,237.6,1.2,0.0,2,205,1,203.0,104.6,94.0,0.8,1,2,0,1,1,0,0,109,2,297.0,2.2,0.0,2,15,0,0.0,1.6,0.0,0.6,1,1,1,1,1,0,0,580,1,534.7,1.5,0.0,4,0,4,20,1,89.5,3,11,0,0.0,94.2,89.5,0.9,3,1,1,1,1,1,0,96,1,89.5,1.9,0.0,1,6,0,0.0,,0,0.7,1,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P063,web,guided,en,A,2026-05-25T18:12:14.905809+00:00,,99,male,high_school,never,2,3,,,5,0,5,10,0,0.0,5,17,0,0.0,,0,1.0,3,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P062,web,guided,en,A,2026-05-25T17:44:31.474225+00:00,,99,male,no_response,couple,2,3,148,,15,15,30,30,0,0.0,5,6,0,0.0,,0,1.0,3,1,1,3,1,1,5,37,0,0.0,,0,5,29,0,0.0,,0,1.0,2,3,0,2,3,0,5,55,0,0.0,,0,5,17,0,0.0,,0,1.0,1,2,2,1,2,2,5,51,0,0.0,,0,11,0,11,30,3,1120.1,3,61,0,0.0,473.1,437.2,0.9,3,1,1,1,1,1,0,475,1,437.2,2.6,0.0,5,51,0,0.0,209.5,204.2,1.0,2,3,0,2,3,0,0,211,1,204.2,1.5,0.0,3,125,0,0.0,488.3,478.7,0.9,0,1,2,0,1,2,0,496,1,478.7,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P061,web,error_based,es,A,2026-05-24T07:12:39.941596+00:00,2026-05-24T07:36:37.200689+00:00,33,male,master,,112,21,685,574,3,8,11,30,14,626.3,3,212,1,155.3,46,0.0,0.9,3,1,1,1,1,1,2,104,1,155.3,23.1,0.0,0,156,3,127.7,12,0.0,0.7,2,3,0,0,0,0,4,31,3,127.7,9.6,0.0,0,93,3,30.1,20.9,0.0,0.5,0,0,1,0,0,0,2,51,3,30.1,2.8,0.0,9,9,18,30,0,0.0,5,97,0,0.0,5.7,0.0,1.0,3,1,1,3,1,1,2,43,0,0.0,23,0.0,3,160,0,0.0,15.1,0.0,0.7,2,3,0,2,1,0,4,78,0,0.0,9.4,0.0,1,129,0,0.0,7.5,0.0,0.5,0,0,1,0,0,1,3,27,0,0.0,5.1,0.0,100,30,75,40,100,100,74.2,"RW1,RW3,AE2,FA3,FA1,AE1,PU2,PU3,PU1,FA2,AE3,RW2",3,4,5,4,4,4,4,3,4,4,4,5,4.0,2.0,3.667,4.333,3.5,5,3,4,selection,3,3,4,-,-,-
P060,web,error_based,en,A,2026-05-24T07:05:54.415501+00:00,2026-05-24T07:32:24.276952+00:00,26,female,master,,58,191,1027,294,10,12,22,30,18,1130.9,3,142,1,119.7,172,54.0,0.9,3,1,1,1,1,1,2,280,6,265.9,33.9,0.0,5,160,2,140.9,4.6,0.0,1.0,2,3,0,2,3,0,5,98,5,221.3,1.5,0.0,2,173,1,151.5,44.9,0.0,0.8,1,1,1,1,1,0,5,135,3,231.7,2.4,0.0,11,11,22,30,0,0.0,5,41,0,0.0,2.4,0.0,1.0,3,1,1,3,1,1,4,22,0,0.0,3.8,0.0,3,66,0,0.0,29.8,0.0,0.9,2,3,0,0,3,0,4,56,0,0.0,2.4,0.0,3,62,0,0.0,10.2,0.0,0.9,1,2,2,1,0,2,3,36,0,0.0,2.8,0.0,100,0,70,30,65,60,54.2,"PU1,RW2,AE2,FA1,AE3,FA3,PU3,RW1,AE1,PU2,RW3,FA2",2,4,4,4,4,4,4,5,4,4,4,5,3.333,2.0,4.333,4.333,3.5,4,2,5,selection,2,4,4,"Having all the rules in consideration, and cases in which there were two critical or two moderate, how to distinguish between them","Having a full list of ordered priority, not three different tables",-
P059,web,error_based,en,A,2026-05-23T12:18:38.483763+00:00,2026-05-23T13:06:00.076035+00:00,26,prefer_not,master,,6,119,2354,325,12,15,27,30,224,2177.6,5,878,74,431.9,3.1,0.0,1.0,3,1,1,3,1,1,5,404,99,712.8,2.7,0.0,5,288,13,198.9,3.9,0.0,1.0,2,3,0,2,3,0,5,250,20,319.5,2.6,0.0,2,228,4,190.5,163.8,75.2,0.8,1,1,1,1,1,0,5,295,14,324.0,2.3,0.0,10,8,18,30,0,0.0,5,85,0,0.0,4.3,0.0,1.0,3,1,1,3,1,1,3,48,0,0.0,6.5,0.0,2,43,0,0.0,2,0.0,0.8,1,2,0,1,1,0,3,31,0,0.0,2.6,0.0,3,63,0,0.0,1.3,0.0,0.9,1,2,2,1,2,0,2,41,0,0.0,2.2,0.0,90,50,85,50,90,90,75.8,"AE1,AE3,FA2,FA1,RW2,RW3,PU3,PU1,RW1,AE2,FA3,PU2",5,5,5,3,3,5,4,5,3,3,5,5,5.0,2.333,4.0,4.333,3.917,5,2,2,selection,2,2,4,Keeping track of all the conditions and states,"Better interface, more explanations why table of risk etc is as it is. Why does high temp for example matter foe infectious disease?",Doing this om phone is very tedious and difficult
P056,web,error_based,en,A,2026-05-23T12:16:29.630777+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P057,web,error_based,en,A,2026-05-23T12:03:54.735768+00:00,,99,non_binary,middle_school,,3,4,,,3,0,3,10,1,7.5,3,22,1,7.5,,0,0.5,2,0,1,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P056,web,error_based,en,A,2026-05-23T10:17:32.694026+00:00,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
